Mandante,Placar,Visitante,Ano
Red Bull Bragantino,1–0,CTB,2023
Red Bull Bragantino,0–3,CRU,2023
Red Bull Bragantino,2–0,CUI,2023
Red Bull Bragantino,4–0,FLA,2023
Red Bull Bragantino,1–0,FLU,2023
Red Bull Bragantino,1–2,FOR,2023
Red Bull Bragantino,2–0,GOI,2023
Red Bull Bragantino,2–0,GRE,2023
Red Bull Bragantino,0–0,INT,2023
Red Bull Bragantino,2–1,PAL,2023
Red Bull Bragantino,2–0,SAN,2023
Red Bull Bragantino,0–0,SPA,2023
Red Bull Bragantino,1–1,VAS,2023
Santos,3–2,AMM,2023
Santos,1–1,ATP,2023
Santos,0–0,ATM,2023
Santos,3–0,BAH,2023
Santos,2–2,BOT,2023
Santos,0–2,COR,2023
Santos,2–1,CTB,2023
Santos,0–3,CRU,2023
Santos,0–0,CUI,2023
Santos,2–3,FLA,2023
Santos,0–3,FLU,2023
Santos,1–2,FOR,2023
Santos,4–3,GOI,2023
Santos,2–1,GRE,2023
Santos,1–1,INT,2023
Santos,0–0,PAL,2023
Santos,1–3,RBB,2023
Santos,0–0,SPA,2023
Santos,4–1,VAS,2023
São Paulo,3–0,AMM,2023
São Paulo,2–1,ATP,2023
São Paulo,0–2,ATM,2023
São Paulo,0–0,BAH,2023
São Paulo,0–0,BOT,2023
São Paulo,2–1,COR,2023
São Paulo,2–1,CTB,2023
São Paulo,1–0,CRU,2023
São Paulo,0–0,CUI,2023
São Paulo,1–0,FLA,2023
São Paulo,1–0,FLU,2023
São Paulo,1–2,FOR,2023
São Paulo,2–1,GOI,2023
São Paulo,3–0,GRE,2023
São Paulo,2–0,INT,2023
São Paulo,0–2,PAL,2023
São Paulo,1–0,RBB,2023
São Paulo,4–1,SAN,2023
São Paulo,4–2,VAS,2023
Vasco da Gama,2–1,AMM,2023
Vasco da Gama,0–2,ATP,2023
Vasco da Gama,1–0,ATM,2023
Vasco da Gama,0–1,BAH,2023
Vasco da Gama,1–0,BOT,2023
Vasco da Gama,2–4,COR,2023
Vasco da Gama,5–1,CTB,2023
Vasco da Gama,0–1,CRU,2023
Vasco da Gama,1–0,CUI,2023
Vasco da Gama,1–4,FLA,2023
Vasco da Gama,4–2,FLU,2023
Vasco da Gama,1–0,FOR,2023
Vasco da Gama,0–1,GOI,2023
Vasco da Gama,1–0,GRE,2023
Vasco da Gama,1–2,INT,2023
Vasco da Gama,2–2,PAL,2023
Vasco da Gama,2–1,RBB,2023
Vasco da Gama,0–1,SAN,2023
Vasco da Gama,0–0,SPA,2023
Athletico Paranaense,2–0,ATG,2024
Athletico Paranaense,1–0,ATM,2024
Athletico Paranaense,1–3,BAH,2024
Athletico Paranaense,0–1,BOT,2024
Athletico Paranaense,1–1,COR,2024
Athletico Paranaense,3–1,CRI,2024
Athletico Paranaense,3–0,CRU,2024
Athletico Paranaense,4–0,CUI,2024
Athletico Paranaense,1–1,FLA,2024
Athletico Paranaense,1–1,FLU,2024
Athletico Paranaense,1–1,FOR,2024
Athletico Paranaense,0–2,GRE,2024
Athletico Paranaense,1–0,INT,2024
Athletico Paranaense,1–2,JUV,2024
Athletico Paranaense,0–2,PAL,2024
Athletico Paranaense,1–2,RBB,2024
Athletico Paranaense,1–2,SPA,2024
Athletico Paranaense,1–0,VAS,2024
Athletico Paranaense,1–2,VIT,2024
Atlético Goianiense,1–2,ATP,2024
Atlético Goianiense,1–0,ATM,2024
Atlético Goianiense,1–1,BAH,2024
Atlético Goianiense,1–4,BOT,2024
Atlético Goianiense,2–2,COR,2024
Atlético Goianiense,1–2,CRI,2024
Atlético Goianiense,0–1,CRU,2024
Atlético Goianiense,0–0,CUI,2024
Atlético Goianiense,1–2,FLA,2024
Atlético Goianiense,1–0,FLU,2024
Atlético Goianiense,3–1,FOR,2024
Atlético Goianiense,1–1,GRE,2024
Atlético Goianiense,1–0,INT,2024
Atlético Goianiense,2–1,JUV,2024
Atlético Goianiense,0–1,PAL,2024
Atlético Goianiense,0–0,RBB,2024
Atlético Goianiense,0–3,SPA,2024
Atlético Goianiense,0–1,VAS,2024
Atlético Goianiense,0–2,VIT,2024
Atlético Mineiro,1–0,ATP,2024
Atlético Mineiro,1–1,ATG,2024
Atlético Mineiro,1–1,BAH,2024
Atlético Mineiro,0–0,BOT,2024
